# t_us, mag_frd_x [uT], mag_frd_y [uT], mag_frd_z [uT]
53698989,-17.7368,-5.6098,46.5312
53801023,-18.0112,-6.5078,46.8648
53898729,-17.3443,-6.0194,46.1995
54000051,-17.4573,-5.9302,46.1088
54098894,-17.6759,-5.8586,46.2109
54198595,-17.9440,-6.0378,46.0066
54299978,-18.1074,-5.3785,46.8057
54399354,-17.8686,-5.4333,46.3312
54499574,-17.8834,-5.2950,46.2360
54599479,-18.0995,-5.2101,46.7871
54701032,-17.7304,-4.9187,46.1470
54800713,-17.3322,-4.2411,46.4947
54900131,-17.5320,-4.3907,46.6658
55001038,-17.9927,-4.6675,46.4861
55101456,-17.9080,-4.6060,46.2021
55198813,-17.5410,-4.4927,46.0681
55300059,-18.1074,-3.8439,46.2609
55400222,-18.4300,-4.0389,46.1213
55499003,-18.5721,-3.7778,46.1709
55599969,-18.2988,-4.1178,46.1749
55698811,-18.1693,-3.9057,45.7143
55800053,-18.4289,-3.0437,46.3415
55901459,-18.8396,-3.2643,46.5028
55999025,-18.3307,-3.0891,45.7379
56100922,-18.3286,-3.6005,45.7325
56199286,-18.6100,-2.6344,46.0852
56299570,-18.4292,-2.5748,46.3840
56399458,-18.0436,-2.1873,46.1410
56498792,-18.6806,-2.6108,46.1796
56601273,-18.7130,-2.1021,46.0502
56700550,-17.8092,-2.1209,46.4594
56800569,-18.5472,-1.9162,45.6887
56901056,-18.0319,-2.0968,45.8879
57000798,-18.7094,-1.8717,45.8293
57101064,-18.4082,-1.7855,46.3954
57199641,-17.6484,-1.5548,46.2451
57299362,-18.4635,-1.4725,46.2173
57401296,-19.2279,-0.7549,46.1865
57500727,-18.6000,-1.0653,46.2783
57598594,-18.7495,-0.5314,46.0943
57699313,-18.4589,-0.5575,46.0557
57800993,-18.5967,-0.9154,46.1937
57900994,-18.4104,-1.1013,45.9995
57998948,-18.3344,-0.6542,46.3982
58098909,-18.1510,-0.0689,46.2962
58199846,-18.6692,-0.3511,46.3546
58300701,-18.1612,0.0278,46.8169
58401408,-18.7488,0.4733,46.3139
58500201,-18.8492,0.5673,46.6455
58601197,-18.5880,0.2007,46.3787
58701259,-18.7640,1.2901,46.2002
58801371,-18.5811,0.6863,46.3410
58900535,-18.6721,0.7523,46.4227
58998688,-18.7221,0.6487,46.0136
59101190,-18.2234,1.1457,46.3094
59200945,-18.3294,1.1745,46.4418
59298804,-18.8021,1.6805,46.1830
59400611,-18.7345,1.8526,46.1523
59499788,-18.7460,2.0642,46.1414
59601005,-18.4899,2.5066,46.2816
59700408,-18.3689,1.8785,46.2959
59801453,-18.7648,2.1441,46.4442
59898851,-18.7736,1.9046,46.3432
60000015,-18.1061,2.4102,46.5401
60099205,-18.0690,2.5441,45.8895
60201189,-18.2827,2.7565,45.5117
60300667,-18.6630,2.4594,46.4665
60400817,-17.9120,2.9485,46.5149
60499941,-18.3074,3.5033,46.5972
60601473,-18.2791,3.2843,45.6189
60701260,-18.3827,2.7503,46.2239
60800381,-18.8635,3.4904,45.7305
60899148,-18.0041,3.6418,46.3569
61000351,-18.0546,3.1005,46.0593
61100934,-17.8955,3.6977,46.1064
61200779,-18.2971,3.5162,46.4902
61301497,-18.5724,4.4841,46.1087
61400235,-18.4338,4.0358,46.4028
61500284,-18.2716,4.5288,45.6998
61599283,-18.0253,4.3761,46.5538
61699960,-18.0773,4.7664,46.1274
61800175,-18.2907,4.4546,45.9101
61901270,-17.9755,4.6227,46.0107
61999042,-18.5521,5.0842,45.8529
62098686,-18.0273,4.6250,46.0062
62199599,-18.4017,5.5345,45.6461
62301166,-18.1401,4.4959,45.5892
62400645,-17.8494,5.6575,45.6283
62501403,-17.8528,5.3256,45.9232
62599662,-17.9542,5.5692,46.1643
62700842,-18.6572,6.0212,45.9575
62799190,-18.0103,5.7251,46.5792
62900928,-18.4163,6.6808,46.9193
63001067,-18.2041,6.0112,45.9805
63099348,-17.8100,6.1083,46.5021
63200560,-18.1970,6.1503,45.5947
63298536,-17.4502,6.5824,46.0035
63400367,-17.6249,6.1092,46.3583
63501053,-17.5748,6.3288,46.0683
63600498,-17.1541,6.7655,45.8845
63698725,-17.1588,6.8299,46.0252
63800294,-17.5889,6.5736,45.5919
63900713,-17.6716,6.7848,46.2755
63999034,-17.6966,6.8141,46.5121
64099475,-17.8276,7.7391,45.6338
64200194,-17.4858,6.7458,45.9385
64298683,-17.9087,6.8021,45.9142
64398527,-17.6857,7.6522,45.7181
64500550,-17.1405,8.1660,46.0254
64599311,-17.5624,8.0859,45.6694
64700653,-17.1484,8.0410,46.3464
64799611,-16.9991,8.4443,45.8736
64899041,-17.2791,7.8388,45.8674
64999117,-17.0417,8.2985,45.9101
65099607,-16.8655,7.9356,45.6295
65199754,-17.2137,8.4066,45.4933
65300624,-16.7049,8.5435,45.2312
65400515,-17.3494,8.6687,46.0897
65500091,-16.8215,8.5044,45.8889
65600573,-16.6553,9.4240,46.5701
65701092,-16.1641,8.7938,45.8442
