# t_us, gyr_frd_x [rad/s], gyr_frd_y [rad/s], gyr_frd_z [rad/s], acc_frd_x [m/s^2], acc_frd_y [m/s^2], acc_frd_z [m/s^2], imu_temp_c [degC]
# block-averaged from 798 Hz by 4 (inslib_decimate_dataset.py)
3714919912,0.00459316148,-0.00215312823,0.00928525418,-0.781014147,-0.0748453006,-10.2850569,25.3
3714924927,0.00945650942,0.00269141036,0.00955054716,-0.696140473,-0.119119314,-10.1517167,25.35
3714929941,0.00567390566,-0.00592110306,0.00716291024,-0.736784216,-0.129290374,-10.0662119,25.35
3714934955,-0.00162111573,-0.00726680824,0.00610173794,-0.770853221,-0.202880977,-10.1959647,25.35
3714939970,0.00567390534,-0.00645938486,0.00822408267,-0.63158867,-0.0401440403,-10.0399023,25.425
3714944984,0.00297204567,-0.0153410393,0.00557115251,-0.66864617,-0.208265652,-10.1295934,25.4
3714949998,0.00486334755,-0.00753594928,0.00689761726,-0.381749196,-0.0933925262,-10.091325,25.35
3714955013,-0.00027018595,-0.0118422061,0.00450998038,-0.0518176805,-0.220829906,-10.1200262,25.275
3714960027,0.00378260356,-0.021800425,0.00344880857,-0.155220127,-0.18074397,-10.0937169,25.375
3714965042,0.00810557895,-0.0226078486,0.00530585901,-0.359634217,-0.315959216,-9.87068583,25.325
3714970056,-0.00243167371,-0.0153410398,0.00504056623,-0.273565131,-0.0461270155,-9.72299542,25.35
3714975070,0.00945650853,-0.0228769896,0.00318351562,-0.204231692,-0.207069062,-9.86650037,25.3
3714980086,0.00972669509,-0.0258375405,0.00583644516,-0.299864022,-0.140658028,-9.6787477,25.375
3714985099,0.00648446325,-0.022069566,0.00424468723,-0.210208707,-0.358438344,-9.61895417,25.275
3714990113,0.00540371939,-0.022069566,0.00557115199,-0.225151261,-0.311172845,-9.63390259,25.275
3714995128,0.00540371942,-0.0309512192,0.00636703105,-0.20243858,-0.329121758,-9.560356,25.3
3715000142,0.00459316147,-0.0226078481,0.0061017384,-0.0458406616,-0.220829904,-9.44913961,25.325
3715005156,0.00783539314,-0.0228769896,0.00636703092,-0.043449853,-0.323138793,-9.5693252,25.35
3715010171,0.0102670665,-0.0234152717,0.00610173794,-0.0344843227,-0.311172835,-9.54182008,25.35
3715015185,0.00810557889,-0.0158793217,0.00689761726,0.0503893671,-0.345874087,-9.65363474,25.275
3715020200,0.00864595092,-0.0226078481,0.00848937577,-0.073932656,-0.344079212,-9.63749039,25.375
3715025214,0.015940972,-0.0239535533,0.00875466862,-0.314806557,-0.391344721,-9.47724269,25.375
3715030228,0.0124285541,-0.00699766693,0.00822408267,-0.246070831,-0.393737899,-9.42342824,25.325
3715035243,0.0056739054,-0.00645938513,0.00795878956,0.0169180534,-0.229206071,-9.47006739,25.275
